task,class0,class1,rep,method,family,r,acc,kernel
CIFAR100: beaver vs possum,beaver,possum,0,SupCon,SupCon,1,0.84375,
CIFAR100: beaver vs possum,beaver,possum,0,SupCon,SupCon,2,0.875,
CIFAR100: beaver vs possum,beaver,possum,0,SupCon,SupCon,3,0.875,
CIFAR100: beaver vs possum,beaver,possum,0,SupCon,SupCon,4,0.875,
CIFAR100: beaver vs possum,beaver,possum,0,SupCon,SupCon,5,0.875,
CIFAR100: beaver vs possum,beaver,possum,0,SupCon,SupCon,6,0.875,
CIFAR100: beaver vs possum,beaver,possum,0,SupCon,SupCon,32,0.890625,
CIFAR100: beaver vs possum,beaver,possum,0,SupCon,SupCon,64,0.859375,
CIFAR100: beaver vs possum,beaver,possum,0,MY-large_mu,MY-large_mu,1,0.921875,rbf
CIFAR100: beaver vs possum,beaver,possum,0,MY-large_mu,MY-large_mu,2,0.921875,rbf
CIFAR100: beaver vs possum,beaver,possum,0,MY-large_mu,MY-large_mu,3,0.921875,linear
CIFAR100: beaver vs possum,beaver,possum,0,MY-large_mu,MY-large_mu,4,0.921875,rbf
CIFAR100: beaver vs possum,beaver,possum,0,MY-large_mu,MY-large_mu,5,0.921875,rbf
CIFAR100: beaver vs possum,beaver,possum,0,MY-large_mu,MY-large_mu,6,0.921875,rbf
CIFAR100: beaver vs possum,beaver,possum,0,MY-large_mu,MY-large_mu,32,0.921875,rbf
CIFAR100: beaver vs possum,beaver,possum,0,MY-large_mu,MY-large_mu,64,0.90625,rbf
CIFAR100: beaver vs possum,beaver,possum,0,MY-small_mu,MY-small_mu,1,0.5,linear
CIFAR100: beaver vs possum,beaver,possum,0,MY-small_mu,MY-small_mu,2,0.5,linear
CIFAR100: beaver vs possum,beaver,possum,0,MY-small_mu,MY-small_mu,3,0.5,linear
CIFAR100: beaver vs possum,beaver,possum,0,MY-small_mu,MY-small_mu,4,0.5,linear
CIFAR100: beaver vs possum,beaver,possum,0,MY-small_mu,MY-small_mu,5,0.5,linear
CIFAR100: beaver vs possum,beaver,possum,0,MY-small_mu,MY-small_mu,6,0.5,linear
CIFAR100: beaver vs possum,beaver,possum,0,MY-small_mu,MY-small_mu,32,0.5,linear
CIFAR100: beaver vs possum,beaver,possum,0,MY-small_mu,MY-small_mu,64,0.5,linear
CIFAR100: beaver vs possum,beaver,possum,1,SupCon,SupCon,1,0.84375,
CIFAR100: beaver vs possum,beaver,possum,1,SupCon,SupCon,2,0.8125,
CIFAR100: beaver vs possum,beaver,possum,1,SupCon,SupCon,3,0.828125,
CIFAR100: beaver vs possum,beaver,possum,1,SupCon,SupCon,4,0.84375,
CIFAR100: beaver vs possum,beaver,possum,1,SupCon,SupCon,5,0.84375,
CIFAR100: beaver vs possum,beaver,possum,1,SupCon,SupCon,6,0.84375,
CIFAR100: beaver vs possum,beaver,possum,1,SupCon,SupCon,32,0.84375,
CIFAR100: beaver vs possum,beaver,possum,1,SupCon,SupCon,64,0.8125,
CIFAR100: beaver vs possum,beaver,possum,1,MY-large_mu,MY-large_mu,1,0.875,linear
CIFAR100: beaver vs possum,beaver,possum,1,MY-large_mu,MY-large_mu,2,0.890625,rbf
CIFAR100: beaver vs possum,beaver,possum,1,MY-large_mu,MY-large_mu,3,0.890625,rbf
CIFAR100: beaver vs possum,beaver,possum,1,MY-large_mu,MY-large_mu,4,0.890625,rbf
CIFAR100: beaver vs possum,beaver,possum,1,MY-large_mu,MY-large_mu,5,0.890625,rbf
CIFAR100: beaver vs possum,beaver,possum,1,MY-large_mu,MY-large_mu,6,0.890625,rbf
CIFAR100: beaver vs possum,beaver,possum,1,MY-large_mu,MY-large_mu,32,0.890625,rbf
CIFAR100: beaver vs possum,beaver,possum,1,MY-large_mu,MY-large_mu,64,0.890625,rbf
CIFAR100: beaver vs possum,beaver,possum,1,MY-small_mu,MY-small_mu,1,0.5,linear
CIFAR100: beaver vs possum,beaver,possum,1,MY-small_mu,MY-small_mu,2,0.5,linear
CIFAR100: beaver vs possum,beaver,possum,1,MY-small_mu,MY-small_mu,3,0.5,linear
CIFAR100: beaver vs possum,beaver,possum,1,MY-small_mu,MY-small_mu,4,0.5,linear
CIFAR100: beaver vs possum,beaver,possum,1,MY-small_mu,MY-small_mu,5,0.5,linear
CIFAR100: beaver vs possum,beaver,possum,1,MY-small_mu,MY-small_mu,6,0.5,linear
CIFAR100: beaver vs possum,beaver,possum,1,MY-small_mu,MY-small_mu,32,0.5,linear
CIFAR100: beaver vs possum,beaver,possum,1,MY-small_mu,MY-small_mu,64,0.5,linear
