task,class0,class1,rep,method,family,r,acc,kernel
CIFAR100: lion vs possum,lion,possum,0,SupCon,SupCon,1,0.90625,
CIFAR100: lion vs possum,lion,possum,0,SupCon,SupCon,2,0.90625,
CIFAR100: lion vs possum,lion,possum,0,SupCon,SupCon,3,0.90625,
CIFAR100: lion vs possum,lion,possum,0,SupCon,SupCon,4,0.90625,
CIFAR100: lion vs possum,lion,possum,0,SupCon,SupCon,5,0.921875,
CIFAR100: lion vs possum,lion,possum,0,SupCon,SupCon,6,0.921875,
CIFAR100: lion vs possum,lion,possum,0,SupCon,SupCon,32,0.921875,
CIFAR100: lion vs possum,lion,possum,0,SupCon,SupCon,64,0.90625,
CIFAR100: lion vs possum,lion,possum,0,MY-large_mu,MY-large_mu,1,0.921875,linear
CIFAR100: lion vs possum,lion,possum,0,MY-large_mu,MY-large_mu,2,0.984375,polynomial
CIFAR100: lion vs possum,lion,possum,0,MY-large_mu,MY-large_mu,3,0.984375,polynomial
CIFAR100: lion vs possum,lion,possum,0,MY-large_mu,MY-large_mu,4,1.0,laplacian
CIFAR100: lion vs possum,lion,possum,0,MY-large_mu,MY-large_mu,5,0.953125,linear
CIFAR100: lion vs possum,lion,possum,0,MY-large_mu,MY-large_mu,6,0.96875,laplacian
CIFAR100: lion vs possum,lion,possum,0,MY-large_mu,MY-large_mu,32,0.953125,laplacian
CIFAR100: lion vs possum,lion,possum,0,MY-large_mu,MY-large_mu,64,0.953125,polynomial
CIFAR100: lion vs possum,lion,possum,0,MY-small_mu,MY-small_mu,1,0.5,linear
CIFAR100: lion vs possum,lion,possum,0,MY-small_mu,MY-small_mu,2,0.5,linear
CIFAR100: lion vs possum,lion,possum,0,MY-small_mu,MY-small_mu,3,0.5,linear
CIFAR100: lion vs possum,lion,possum,0,MY-small_mu,MY-small_mu,4,0.5,linear
CIFAR100: lion vs possum,lion,possum,0,MY-small_mu,MY-small_mu,5,0.5,linear
CIFAR100: lion vs possum,lion,possum,0,MY-small_mu,MY-small_mu,6,0.5,linear
CIFAR100: lion vs possum,lion,possum,0,MY-small_mu,MY-small_mu,32,0.5,linear
CIFAR100: lion vs possum,lion,possum,0,MY-small_mu,MY-small_mu,64,0.5,linear
CIFAR100: lion vs possum,lion,possum,1,SupCon,SupCon,1,0.953125,
CIFAR100: lion vs possum,lion,possum,1,SupCon,SupCon,2,0.953125,
CIFAR100: lion vs possum,lion,possum,1,SupCon,SupCon,3,0.953125,
CIFAR100: lion vs possum,lion,possum,1,SupCon,SupCon,4,0.953125,
CIFAR100: lion vs possum,lion,possum,1,SupCon,SupCon,5,0.953125,
CIFAR100: lion vs possum,lion,possum,1,SupCon,SupCon,6,0.96875,
CIFAR100: lion vs possum,lion,possum,1,SupCon,SupCon,32,0.953125,
CIFAR100: lion vs possum,lion,possum,1,SupCon,SupCon,64,0.9375,
CIFAR100: lion vs possum,lion,possum,1,MY-large_mu,MY-large_mu,1,0.984375,laplacian
CIFAR100: lion vs possum,lion,possum,1,MY-large_mu,MY-large_mu,2,0.984375,laplacian
CIFAR100: lion vs possum,lion,possum,1,MY-large_mu,MY-large_mu,3,0.984375,laplacian
CIFAR100: lion vs possum,lion,possum,1,MY-large_mu,MY-large_mu,4,0.984375,laplacian
CIFAR100: lion vs possum,lion,possum,1,MY-large_mu,MY-large_mu,5,0.984375,laplacian
CIFAR100: lion vs possum,lion,possum,1,MY-large_mu,MY-large_mu,6,0.984375,laplacian
CIFAR100: lion vs possum,lion,possum,1,MY-large_mu,MY-large_mu,32,0.984375,linear
CIFAR100: lion vs possum,lion,possum,1,MY-large_mu,MY-large_mu,64,0.984375,linear
CIFAR100: lion vs possum,lion,possum,1,MY-small_mu,MY-small_mu,1,0.5,linear
CIFAR100: lion vs possum,lion,possum,1,MY-small_mu,MY-small_mu,2,0.5,linear
CIFAR100: lion vs possum,lion,possum,1,MY-small_mu,MY-small_mu,3,0.5,linear
CIFAR100: lion vs possum,lion,possum,1,MY-small_mu,MY-small_mu,4,0.5,linear
CIFAR100: lion vs possum,lion,possum,1,MY-small_mu,MY-small_mu,5,0.5,linear
CIFAR100: lion vs possum,lion,possum,1,MY-small_mu,MY-small_mu,6,0.5,linear
CIFAR100: lion vs possum,lion,possum,1,MY-small_mu,MY-small_mu,32,0.5,linear
CIFAR100: lion vs possum,lion,possum,1,MY-small_mu,MY-small_mu,64,0.5,linear
